bigg_rxn_id,biocyc_rxn_id,parent_node,parent_node_type,parent_node_subtype,parent_node_biocyc_id,child_node,child_node_type,child_node_subtype,child_node_biocyc_id,edge_weight,edge_source,edge_type,putative,edge_notes,edge_ref,putative_removal,putative_removal_notes
SHK3Dr,SHIKIMATE-5-DEHYDROGENASE-RXN,bigg:SHK3Dr,reaction,NA,SHIKIMATE-5-DEHYDROGENASE-RXN,EG11234-MONOMER,protein,polypeptide,EG11234-MONOMER,NA,iml1515,secondary_catalysis,FALSE,shikimate dehydrogenase with much lower activity than aroE,PMID:12637497,,
NDPK6,DUDPKIN-RXN,bigg:NDPK6,reaction,NA,DUDPKIN-RXN,ADENYL-KIN-MONOMER,protein,polypeptide,ADENYL-KIN-MONOMER,NA,iml1515,secondary_catalysis,FALSE,"adenylate kinase main catalytic function is bigg:ADK1, but possesses nucleoside diphosphate kinase ( bigg:NDPK(n) ) catalytic activity                                                                                                                                                                                                                                                                                                                                                                              ",PMID:8650159;PMID:15941717,,
NDPK8,DADPKIN-RXN,bigg:NDPK8,reaction,NA,DADPKIN-RXN,ADENYL-KIN-MONOMER,protein,polypeptide,ADENYL-KIN-MONOMER,NA,iml1515,secondary_catalysis,FALSE,"adenylate kinase main catalytic function is bigg:ADK1, but possesses nucleoside diphosphate kinase ( bigg:NDPK(n) ) catalytic activity                                                                                                                                                                                                                                                                                                                                                                              ",PMID:8650159;PMID:15941718,,
NDPK1,GDPKIN-RXN,bigg:NDPK1,reaction,NA,GDPKIN-RXN,ADENYL-KIN-MONOMER,protein,polypeptide,ADENYL-KIN-MONOMER,NA,biocyc,secondary_catalysis,FALSE,"adenylate kinase main catalytic function is bigg:ADK1, but possesses nucleoside diphosphate kinase ( bigg:NDPK(n) ) catalytic activity                                                                                                                                                                                                                                                                                                                                                                              ",PMID:8650159;PMID:15941717,,
NDPK2,UDPKIN-RXN,bigg:NDPK2,reaction,NA,UDPKIN-RXN,ADENYL-KIN-MONOMER,protein,polypeptide,ADENYL-KIN-MONOMER,NA,biocyc,secondary_catalysis,FALSE,"adenylate kinase main catalytic function is bigg:ADK1, but possesses nucleoside diphosphate kinase ( bigg:NDPK(n) ) catalytic activity                                                                                                                                                                                                                                                                                                                                                                              ",PMID:8650159;PMID:15941718,,
NDPK4,DTDPKIN-RXN,bigg:NDPK4,reaction,NA,DTDPKIN-RXN,ADENYL-KIN-MONOMER,protein,polypeptide,ADENYL-KIN-MONOMER,NA,biocyc,secondary_catalysis,FALSE,"adenylate kinase main catalytic function is bigg:ADK1, but possesses nucleoside diphosphate kinase ( bigg:NDPK(n) ) catalytic activity                                                                                                                                                                                                                                                                                                                                                                              ",PMID:8650159;PMID:15941719,,
NDPK5,DGDPKIN-RXN,bigg:NDPK5,reaction,NA,DGDPKIN-RXN,ADENYL-KIN-MONOMER,protein,polypeptide,ADENYL-KIN-MONOMER,NA,biocyc,secondary_catalysis,FALSE,"adenylate kinase main catalytic function is bigg:ADK1, but possesses nucleoside diphosphate kinase ( bigg:NDPK(n) ) catalytic activity                                                                                                                                                                                                                                                                                                                                                                              ",PMID:8650159;PMID:15941720,,
NDPK7,DCDPKIN-RXN,bigg:NDPK7,reaction,NA,DCDPKIN-RXN,ADENYL-KIN-MONOMER,protein,polypeptide,ADENYL-KIN-MONOMER,NA,biocyc,secondary_catalysis,FALSE,"adenylate kinase main catalytic function is bigg:ADK1, but possesses nucleoside diphosphate kinase ( bigg:NDPK(n) ) catalytic activity                                                                                                                                                                                                                                                                                                                                                                              ",PMID:8650159;PMID:15941722,,
XYLK,XYLULOKIN-RXN,bigg:XYLK,reaction,NA,XYLULOKIN-RXN,RIBULOKIN-MONOMER,protein,polypeptide,RIBULOKIN-MONOMER,NA,iml1515,secondary_catalysis,FALSE,"L-ribulokynanase has broad substrate specifity and can phosphorilate D-xylulose as well. However, affinity for D-xylulose  was reported to be much lower (>100-fold smaller Km)                                                                                                                                                                                                                                                                                                                                     ",PMID:11747300,,
ASPTA,ASPAMINOTRANS-RXN,bigg:ASPTA,reaction,NA,ASPAMINOTRANS-RXN,TYRB-DIMER,protein,multimeric_protein,TYRB-DIMER,NA,iml1515,catalysis,FALSE,"aromatic aminotransferase (tyrB) shows comparable affinity to aspartate aminotransferase (aspC) for dicarboxylic aminoacid (e.g) aspartate. Note that the reverse is not true, with tyrB being significantly more affine to aromatic aminoacids than aspC                                                                                                                                                                                                                                                           ",PMID:8218300,,
PHETA1,RXN-10814,bigg:PHETA1,reaction,NA,RXN-10814,BRANCHED-CHAINAMINOTRANSFER-CPLX,protein,multimeric_protein,BRANCHED-CHAINAMINOTRANSFER-CPLX,NA,biocyc,secondary_catalysis,FALSE,"branched-chain-amino-acid aminotransferase possesses broad substrate specificity, but its activity on pheylalanine  and tyrosine was reported to be very low                                                                                                                                                                                                                                                                                                                                                        ",PMID:378964,,
PHETA1,RXN-10815,bigg:PHETA1,reaction,NA,RXN-10815,ASPAMINOTRANS-DIMER,protein,multimeric_protein,ASPAMINOTRANS-DIMER,NA,biocyc,secondary_catalysis,FALSE,Aspartate aminotransferase (aspC) possesses considerably lower activity on aromatic aminoacids than the aromatic aminotranferase( tyrB),PMID:8218300,,
TYRTA,TYROSINE-AMINOTRANSFERASE-RXN,bigg:TYRTA,reaction,NA,TYROSINE-AMINOTRANSFERASE-RXN,ASPAMINOTRANS-DIMER,protein,multimeric_protein,ASPAMINOTRANS-DIMER,NA,biocyc,catalysis,FALSE,Aspartate aminotransferase (aspC) was shown considerably lower activity on aromatic aminoacids than the aromatic aminotranferase tyrB in vitro.,PMID:8218300,,
TYRTA,TYROSINE-AMINOTRANSFERASE-RXN,bigg:TYRTA,reaction,NA,TYROSINE-AMINOTRANSFERASE-RXN,BRANCHED-CHAINAMINOTRANSFER-CPLX,protein,multimeric_protein,BRANCHED-CHAINAMINOTRANSFER-CPLX,NA,iml1515,secondary_catalysis,FALSE,"branched-chain-amino-acid aminotransferase possesses broad substrate specificity, but its activity on pheylalanine  and tyrosine was reported to be very low                                                                                                                                                                                                                                                                                                                                                        ",PMID:378964,yes,activity on tyrosine reported to be very low in vitro
FBP,F16BDEPHOS-RXN,bigg:FBP,reaction,NA,F16BDEPHOS-RXN,EG11195-MONOMER,protein,polypeptide,EG11195-MONOMER,NA,iml1515,secondary_catalysis,FALSE,"fructose-1,6 biphosphate phosphatase activity reported, though this is not specific to the C1-phosphate, like fbp,gplx, and pther FBP-Phosphatases                                                                                                                                                                                                                                                                                                                                                                  ",PMID: 16990279,,
FBP,F16BDEPHOS-RXN,bigg:FBP,reaction,NA,F16BDEPHOS-RXN,EG11736-MONOMER,protein,polypeptide,EG11736-MONOMER,NA,manual_curation,secondary_catalysis,FALSE,this haloacid dehalogenase (HAD)-like hydrolase was reported to have enzymatc activity for the conversion of FBP to F6P,PMID: 16990279,,
FBP,F16BDEPHOS-RXN,bigg:FBP,reaction,NA,F16BDEPHOS-RXN,CPLX0-303,protein,multimeric_protein,CPLX0-303,NA,biocyc,secondary_catalysis,FALSE,"gplX encodes a second fructose biphosphate phosphatase. It's activity in vitro was reported to be 7-fold less than FBPase I (fbp). In addition, a fbp deltion strain was reported unable to grow on gluconeogic substrates, suggesting that fbp is the most physiologically relevant isoenzyme for the FBP reaction. Expression of glpX from a multicopy plasmid complemented the fbp-deletion phenotype",PMID:10986273,,
FBP,F16BDEPHOS-RXN,bigg:FBP,reaction,NA,F16BDEPHOS-RXN,EG11239-MONOMER,protein,polypeptide,EG11239-MONOMER,NA,biocyc,secondary_catalysis,FALSE,"YhbA is a pyridoxal phosphate phosphatase which was shown to possess fructose 1,6-bisphosphate phosphatase activity in vitro (PMID: 19073594), alnbeit lower than fbp . However, a fbp deletion strain was reported unable to grow on gluconeogic substrates, suggesting that fbp is the most physiologically relevant isoenzyme for the FBP reaction (PMID:10986273)",PMID:19073594;PMID:10986273,,
FBP,F16BDEPHOS-RXN,bigg:FBP,reaction,NA,F16BDEPHOS-RXN,CPLX0-7776,protein,multimeric_protein,CPLX0-7776,NA,biocyc,secondary_catalysis,FALSE,"YggF posses FBPase activity in vitro (PMID:19073594), albeit less than fbp. However, a fbp deletion strain was reported unable to grow on gluconeogic substrates, suggesting that fbp is the most physiologically relevant isoenzyme for the FBP reaction (PMID:10986273)",PMID:19073594;PMID:10986274,,
